,type,ontime,overdue
0,Rental Unit Delivery Conditions,4,20
1,Heat - Excessive  Insufficient,32,63
2,Unsafe Dangerous Conditions,4,62
3,Rodent Activity,255,414
4,Pick up Dead Animal,537,36
5,Unsatisfactory Living Conditions,95,99
6,Request for Pothole Repair,663,335
7,Electrical,3,31
8,Traffic Signal Inspection,380,111
9,Parking Enforcement,3055,83
10,Missed Trash/Recycling,747,23
11,Pigeon Infestation,0,0
12,CE Collection,1095,9
13,Requests for Street Cleaning,1223,128
14,Request for Recycling Cart,991,168
15,Street Light Outages,175,168
16,Sidewalk Repair (Make Safe),80,158
17,Animal Generic Request,244,0
18,Recycling Cart Return,441,184
19,Graffiti Removal,121,110
20,Needle Pickup,1413,0
21,Sign Repair,366,162
22,Abandoned Vehicles,137,290
23,Abandoned Bicycle,117,0
24,Improper Storage of Trash (Barrels),962,34
25,Tree Maintenance Requests,497,0
26,Request for Snow Plowing (Emergency Responder),4,0
27,PWD Graffiti,96,43
28,Poor Conditions of Property,771,39
29,BWSC General Request,20,0
30,Public Works General Request,41,0
31,Contractors Complaint,88,0
32,Schedule a Bulk Item Pickup,819,0
33,Unshoveled Sidewalk,208,7
34,Overflowing or Un-kept Dumpster,4,15
35,Schedule a Bulk Item Pickup SS,566,0
36,Maintenance - Homeowner,2,20
37,Unsanitary Conditions - Establishment,64,10
38,Illegal Dumping,128,7
39,Ground Maintenance,257,91
40,Working Beyond Hours,77,0
41,Empty Litter Basket,138,8
42,New Tree Requests,90,0
43,Animal Found,24,0
44,Requests for Traffic Signal Studies or Reviews,44,14
45,General Comments For An Employee,26,0
46,Notification,78,0
47,Protection of Adjoining Property,8,26
48,Building Inspection Request,7,61
49,Space Savers,11,0
50,New Sign  Crosswalk or Pavement Marking,34,20
51,Unsanitary Conditions - Food,10,2
52,Animal Lost,14,0
53,Squalid Living Conditions,4,2
54,General Comments For a Program or Policy,0,2
55,Rooftop & Mechanical Disturbances,5,0
56,Request for Litter Basket Installation,14,6
57,Parks General Request,43,0
58,Equipment Repair,87,75
59,Request for Snow Plowing,42,4
60,No Utilities Residential - Electricity,1,7
61,Mice Infestation - Residential,15,17
62,Chronic Dampness/Mold,4,11
63,Illegal Posting of Signs,7,1
64,Catchbasin,42,0
65,Street Light Knock Downs,51,7
66,Knockdown Replacement,19,7
67,Utility Casting Repair,10,0
68,Sticker Request,231,2
69,Missing Sign,55,42
70,Tree Emergencies,148,16
71,BWSC Pothole,2,0
72,Parks Lighting/Electrical Issues,5,18
73,Sidewalk Repair,13,0
74,Contractor Complaints,33,20
