,type,ontime,overdue
0,Rental Unit Delivery Conditions,9,43
1,Heat - Excessive  Insufficient,60,82
2,Unsafe Dangerous Conditions,9,88
3,Rodent Activity,191,192
4,Pick up Dead Animal,479,64
5,Unsatisfactory Living Conditions,202,208
6,Request for Pothole Repair,631,502
7,Electrical,26,19
8,Traffic Signal Inspection,252,157
9,Parking Enforcement,2783,103
10,Missed Trash/Recycling/Yard Waste/Bulk Item,1171,31
11,Pigeon Infestation,1,1
12,CE Collection,1382,12
13,Requests for Street Cleaning,1682,230
14,Request for Recycling Cart,561,126
15,Street Light Outages,273,309
16,Sidewalk Repair (Make Safe),152,210
17,Animal Generic Request,268,0
18,Recycling Cart Return,228,78
19,Graffiti Removal,248,222
20,Needle Pickup,3996,0
21,Sign Repair,318,196
22,Abandoned Vehicles,190,415
23,Abandoned Bicycle,138,0
24,Improper Storage of Trash (Barrels),1537,18
25,Tree Maintenance Requests,584,0
26,Request for Snow Plowing (Emergency Responder),13,0
27,PWD Graffiti,150,107
28,Poor Conditions of Property,746,8
29,BWSC General Request,26,0
30,Public Works General Request,60,0
31,Contractors Complaint,120,0
32,Schedule a Bulk Item Pickup,1424,0
33,Unshoveled Sidewalk,154,18
34,Overflowing or Un-kept Dumpster,2,28
35,Schedule a Bulk Item Pickup SS,401,0
36,Maintenance - Homeowner,9,19
37,Unsanitary Conditions - Establishment,65,14
38,Illegal Dumping,221,11
39,Ground Maintenance,357,176
40,Working Beyond Hours,87,0
41,Empty Litter Basket,199,21
42,New Tree Requests,169,1
43,Animal Found,34,0
44,Requests for Traffic Signal Studies or Reviews,19,8
45,General Comments For An Employee,44,0
46,Notification,93,1
47,Protection of Adjoining Property,11,31
48,Building Inspection Request,27,77
49,Space Savers,63,0
50,New Sign  Crosswalk or Pavement Marking,40,25
51,Unsanitary Conditions - Food,26,4
52,Animal Lost,34,0
53,Squalid Living Conditions,6,6
54,General Comments For a Program or Policy,6,1
55,Rooftop & Mechanical Disturbances,4,0
56,Request for Litter Basket Installation,8,2
57,Parks General Request,54,0
58,Equipment Repair,156,108
59,Request for Snow Plowing,133,13
60,No Utilities Residential - Electricity,1,7
61,Mice Infestation - Residential,26,28
62,Chronic Dampness/Mold,12,32
63,Illegal Posting of Signs,78,7
64,Catchbasin,46,0
65,Street Light Knock Downs,49,11
66,Knockdown Replacement,25,8
67,Utility Casting Repair,14,0
68,Sticker Request,133,2
69,Missing Sign,54,32
70,Tree Emergencies,165,40
71,BWSC Pothole,1,0
72,Parks Lighting/Electrical Issues,27,13
73,Sidewalk Repair,94,0
74,Contractor Complaints,35,32
75,General Lighting Request,79,22
76,Construction Debris,23,0
77,Illegal Auto Body Shop,3,13
78,StreetLight Pole WO,4,24
79,Pavement Marking Inspection,7,1
80,Bed Bugs,5,6
81,Illegal Occupancy,4,10
82,Exceeding Terms of Permit,14,28
83,Work w/out Permit,14,157
84,Fire Hydrant,24,0
85,Pavement Marking Maintenance,3,0
86,Parking on Front/Back Yards (Illegal Parking),31,3
87,Big Buildings Recycling (INTERNAL),2,0
88,Pest Infestation - Residential,104,63
89,Item Price Missing,0,0
90,Major System Failure,45,8
91,Poor Ventilation,5,2
92,Unit Pricing Wrong/Missing,5,2
93,Overcrowding,0,2
94,Egress,8,0
95,Illegal Rooming House,4,16
96,Maintenance Complaint - Residential,14,32
97,No Utilities Residential - Water,9,6
98,Animal Noise Disturbances,5,0
99,Undefined Noise Disturbance,14,0
100,Park Improvement Requests,0,0
101,Misc. Snow Complaint,37,0
102,Transportation General Request,27,1
103,Work Hours-Loud Noise Complaints,18,12
104,News Boxes,0,0
105,Traffic Signal Repair,9,0
106,Cross Metering - Sub-Metering,6,16
107,Litter Basket Maintenance,10,0
108,No Utilities Residential - Gas,4,2
109,Loud Parties/Music/People,67,0
110,General Traffic Engineering Request,3,3
111,Sidewalk Cover / Manhole,19,0
112,Sewage/Septic Back-Up,6,4
113,Parking Meter Repairs,2,7
114,No Utilities - Food Establishment - Water,0,0
115,Roadway Repair,17,0
116,Tree in Park,7,0
117,Public Events Noise Disturbances,3,0
118,No Utilities - Food Establishment - Sewer,0,0
119,Plumbing,5,4
120,Food Alert - Unconfirmed,5,4
121,Zoning,1,2
122,Pole Compliance,4,24
123,Food Alert - Confirmed,3,0
124,Trash on Vacant Lot,6,12
125,Scale Not Visible,0,1
126,Unsatisfactory Utilities - Electrical  Plumbing,12,13
127,Automotive Noise Disturbance,8,0
128,Bicycle Issues,5,0
129,Mechanical,4,1
130,Unsanitary Conditions - Employees,60,8
131,Illegal Vending,10,0
132,Upgrade Existing Lighting,0,0
133,Utility Call-In,1,1
134,No-Tow Complaint Confirmation,3,0
135,Install New Lighting,4,1
136,Scanning Overcharge,4,2
137,Abandoned Building,5,15
138,Billing Complaint,0,0
139,Fire in Food Establishment,1,0
140,New Tree Warrantee Inspection,0,0
141,No Utilities - Food Establishment - Flood,1,0
142,Walk-In Service Inquiry,0,0
143,Student Overcrowding,1,1
144,Dumpster & Loading Noise Disturbances,1,0
145,Carbon Monoxide,2,1
146,Cemetery Maintenance Request,0,0
147,Valet Parking Problems,0,0
148,Aircraft Noise Disturbance,9,0
149,Phone Bank Service Inquiry,0,0
150,Requests for Directional or Roadway Changes,1,0
151,No Price on Gas/Wrong Price,0,1
152,Municipal Parking Lot Complaints,1,0
153,Planting,0,1
154,Big Buildings Online Request,1,0
155,Bridge Maintenance,0,0
156,Lead,0,0
157,Private Parking Lot Complaints,0,0
158,No Utilities - Food Establishment - Electricity,0,0
159,Mosquitoes (West Nile),0,1
160,Sign Shop WO,0,0
161,Occupying W/Out A Valid CO/CI,1,0
162,Rat Bite,0,0
163,Illegal Use,0,0
164,Product Short Measure,0,0
165,Student Move-in Issues,4,1
166,Pickup/Clear Conduit,1,0
167,Fire Department Request,0,0
168,City/State Snow Issues,3,0
169,Short Measure - Gas,0,0
170,Street Light Longterm Repair,0,0
171,Alert Boston,0,0
172,Heat/Fuel Assistance,1,0
173,Water in Gas - High Priority,0,0
174,Snow/Ice Control,0,0
