,type,ontime,overdue
0,Rental Unit Delivery Conditions,8,34
1,Heat - Excessive  Insufficient,49,90
2,Unsafe Dangerous Conditions,3,74
3,Rodent Activity,143,160
4,Pick up Dead Animal,339,18
5,Unsatisfactory Living Conditions,154,227
6,Request for Pothole Repair,530,144
7,Electrical,10,30
8,Traffic Signal Inspection,217,83
9,Parking Enforcement,2071,115
10,Missed Trash/Recycling/Yard Waste/Bulk Item,1731,95
11,Pigeon Infestation,2,0
12,CE Collection,399,4
13,Requests for Street Cleaning,1693,117
14,Request for Recycling Cart,764,293
15,Street Light Outages,239,217
16,Sidewalk Repair (Make Safe),81,170
17,Animal Generic Request,293,0
18,Recycling Cart Return,447,215
19,Graffiti Removal,96,50
20,Needle Pickup,97,0
21,Sign Repair,261,68
22,Abandoned Vehicles,186,656
23,Abandoned Bicycle,41,0
24,Improper Storage of Trash (Barrels),777,5
25,Tree Maintenance Requests,457,0
26,Request for Snow Plowing (Emergency Responder),3,0
27,PWD Graffiti,14,25
28,Poor Conditions of Property,755,10
29,BWSC General Request,25,0
30,Public Works General Request,61,0
31,Contractors Complaint,71,0
32,Schedule a Bulk Item Pickup,2525,1
33,Unshoveled Sidewalk,148,3
34,Overflowing or Un-kept Dumpster,6,27
35,Schedule a Bulk Item Pickup SS,542,0
36,Maintenance - Homeowner,1,17
37,Unsanitary Conditions - Establishment,110,8
38,Illegal Dumping,181,4
39,Ground Maintenance,130,68
40,Working Beyond Hours,47,0
41,Empty Litter Basket,47,9
42,New Tree Requests,97,1
43,Animal Found,42,0
44,Requests for Traffic Signal Studies or Reviews,38,16
45,General Comments For An Employee,66,0
46,Notification,95,0
47,Protection of Adjoining Property,9,31
48,Building Inspection Request,20,80
49,Space Savers,82,0
50,New Sign  Crosswalk or Pavement Marking,70,25
51,Unsanitary Conditions - Food,19,1
52,Animal Lost,40,0
53,Squalid Living Conditions,3,5
54,General Comments For a Program or Policy,1,0
55,Rooftop & Mechanical Disturbances,1,0
56,Request for Litter Basket Installation,16,3
57,Parks General Request,26,0
58,Equipment Repair,49,45
59,Request for Snow Plowing,130,7
60,No Utilities Residential - Electricity,5,12
61,Mice Infestation - Residential,26,41
62,Chronic Dampness/Mold,10,23
63,Illegal Posting of Signs,3,0
64,Catchbasin,59,0
65,Street Light Knock Downs,51,9
66,Knockdown Replacement,24,8
67,Utility Casting Repair,8,0
68,Sticker Request,230,4
69,Missing Sign,22,18
70,Tree Emergencies,230,47
71,BWSC Pothole,2,0
72,Parks Lighting/Electrical Issues,4,6
73,Sidewalk Repair,37,0
74,Contractor Complaints,47,24
75,General Lighting Request,52,14
76,Construction Debris,17,0
77,Illegal Auto Body Shop,19,49
78,StreetLight Pole WO,1,14
79,Pavement Marking Inspection,3,1
80,Bed Bugs,6,11
81,Illegal Occupancy,4,15
82,Exceeding Terms of Permit,13,22
83,Work w/out Permit,16,135
84,Fire Hydrant,30,0
85,Pavement Marking Maintenance,0,0
86,Parking on Front/Back Yards (Illegal Parking),47,1
87,Big Buildings Recycling (INTERNAL),0,0
88,Pest Infestation - Residential,68,46
89,Item Price Missing,3,1
90,Major System Failure,35,6
91,Poor Ventilation,0,1
92,Unit Pricing Wrong/Missing,3,4
93,Overcrowding,1,4
94,Egress,9,0
95,Illegal Rooming House,7,21
96,Maintenance Complaint - Residential,16,24
97,No Utilities Residential - Water,2,15
98,Animal Noise Disturbances,42,0
99,Undefined Noise Disturbance,10,0
100,Park Improvement Requests,1,0
101,Misc. Snow Complaint,15,0
102,Transportation General Request,27,1
103,Work Hours-Loud Noise Complaints,4,8
104,News Boxes,0,0
105,Traffic Signal Repair,7,1
106,Cross Metering - Sub-Metering,5,16
107,Litter Basket Maintenance,6,0
108,No Utilities Residential - Gas,2,5
109,Loud Parties/Music/People,89,0
110,General Traffic Engineering Request,12,5
111,Sidewalk Cover / Manhole,17,0
112,Sewage/Septic Back-Up,1,5
113,Parking Meter Repairs,0,0
114,No Utilities - Food Establishment - Water,0,1
115,Roadway Repair,21,0
116,Tree in Park,8,0
117,Public Events Noise Disturbances,1,0
118,No Utilities - Food Establishment - Sewer,1,0
119,Plumbing,3,3
120,Food Alert - Unconfirmed,3,1
121,Zoning,4,8
122,Pole Compliance,4,3
123,Food Alert - Confirmed,1,0
124,Trash on Vacant Lot,8,9
125,Scale Not Visible,0,0
126,Unsatisfactory Utilities - Electrical  Plumbing,6,11
127,Automotive Noise Disturbance,4,0
128,Bicycle Issues,4,0
129,Mechanical,0,1
130,Unsanitary Conditions - Employees,58,2
131,Illegal Vending,12,1
132,Upgrade Existing Lighting,0,2
133,Utility Call-In,1,2
134,No-Tow Complaint Confirmation,5,2
135,Install New Lighting,3,4
136,Scanning Overcharge,4,0
137,Abandoned Building,0,14
138,Billing Complaint,2,0
139,Fire in Food Establishment,0,0
140,New Tree Warrantee Inspection,0,0
141,No Utilities - Food Establishment - Flood,0,0
142,Walk-In Service Inquiry,0,0
143,Student Overcrowding,0,0
144,Dumpster & Loading Noise Disturbances,2,0
145,Carbon Monoxide,0,4
146,Cemetery Maintenance Request,0,0
147,Valet Parking Problems,0,0
148,Aircraft Noise Disturbance,1,0
149,Phone Bank Service Inquiry,0,0
150,Requests for Directional or Roadway Changes,3,0
151,No Price on Gas/Wrong Price,0,0
152,Municipal Parking Lot Complaints,0,0
153,Planting,0,1
154,Big Buildings Online Request,1,0
155,Bridge Maintenance,1,0
156,Lead,0,2
157,Private Parking Lot Complaints,0,0
158,No Utilities - Food Establishment - Electricity,1,0
159,Mosquitoes (West Nile),1,0
160,Sign Shop WO,0,0
161,Occupying W/Out A Valid CO/CI,0,1
162,Rat Bite,1,0
163,Illegal Use,0,0
164,Product Short Measure,1,0
165,Student Move-in Issues,0,0
166,Pickup/Clear Conduit,1,0
167,Fire Department Request,1,0
168,City/State Snow Issues,4,0
169,Short Measure - Gas,2,1
170,Street Light Longterm Repair,0,0
171,Alert Boston,0,0
172,Heat/Fuel Assistance,1,0
173,Water in Gas - High Priority,1,0
174,Snow/Ice Control,0,0
